fid,id,Grid_data_Nit_dep,Grid_data_Acid_dep,X,Y
1,1,"0.5","0.18",407391,361254
2,2,"0.5","0.18",407391,361154
3,3,"0.5","0.18",407391,361054
4,4,"0.5","0.18",407391,360954
5,5,"0.5","0.18",407391,360854
6,6,"0.5","0.18",407391,360754
7,7,"0.5","0.1",407391,360654
8,8,"0.5","0.1",407391,360554
9,9,"0.5","0.1",407391,360454
10,10,"0.5","0.1",407391,360354
11,11,"0.5","0.1",407391,360254
12,12,"0.5","0.1",407391,360154
13,13,"0.5","0.2",407391,360054
14,14,"0.5","0.2",407391,359954
15,15,"0.5","0.2",407391,359854
16,16,"0.5","0.2",407391,359754
17,17,"0.5","0.2",407391,359654
18,18,"0.5","0.2",407391,359554
19,19,"0.5","0.2",407391,359454
20,20,"0.5","0.2",407391,359354
21,21,"0.5","0.2",407391,359254
22,22,"0.5","0.2",407391,359154
23,23,"0.5","0.2",407391,359054
24,24,"0.5","0.2",407391,358954
25,25,"0.5","0.2",407391,358854
26,26,"0.5","0.2",407391,358754
27,27,"0.5","0.2",407391,358654
28,28,"0.5","0.2",407391,358554
29,29,"0.5","0.2",407391,358454
30,30,"0.5","0.2",407391,358354
31,31,"0.5","0.2",407391,358254
32,32,"0.5","0.2",407391,358154
33,33,"0.5","0.2",407391,358054
34,34,"0.5","0.2",407391,357954
35,35,"0.5","0.25",407391,357854
36,36,"0.5","0.25",407391,357754
37,37,"0.5","0.25",407391,357654
38,38,"0.5","0.25",407391,357554
39,39,"0.5","0.25",407391,357454
40,40,"0.5","0.25",407391,357354
41,41,"0.5","0.25",407391,357254
42,42,"0.5","0.25",407391,357154
43,43,"0.5","0.25",407391,357054
44,44,"0.5","0.25",407391,356954
45,45,"0.5","0.25",407391,356854
46,46,"0.5","0.25",407391,356754
47,47,"0.5","0.25",407391,356654
48,48,"0.5","0.25",407391,356554
49,49,"0.5","0.25",407391,356454
50,50,"0.5","0.25",407391,356354
51,51,"0.5","0.25",407391,356254
52,52,"0.5","0.25",407391,356154
53,53,"0.5","0.18",407491,361254
54,54,"0.5","0.18",407491,361154
55,55,"0.5","0.18",407491,361054
56,56,"0.5","0.18",407491,360954
57,57,"0.5","0.18",407491,360854
58,58,"0.5","0.18",407491,360754
59,59,"0.5","0.1",407491,360654
60,60,"0.5","0.1",407491,360554
61,61,"0.5","0.1",407491,360454
62,62,"0.5","0.1",407491,360354
63,63,"0.4","0.1",407491,360254
64,64,"0.3","0.1",407491,360154
65,65,"0.3","0.2",407491,360054
66,66,"0.3","0.2",407491,359954
67,67,"0.3","0.2",407491,359854
68,68,"0.3","0.2",407491,359754
69,69,"0.27","0.2",407491,359654
70,70,"0.27","0.2",407491,359554
71,71,"0.27","0.2",407491,359454
72,72,"0.27","0.2",407491,359354
73,73,"0.27","0.2",407491,359254
74,74,"0.27","0.2",407491,359154
75,75,"0.27","0.2",407491,359054
76,76,"0.27","0.2",407491,358954
77,77,"0.27","0.2",407491,358854
78,78,"0.27","0.2",407491,358754
79,79,"0.27","0.2",407491,358654
80,80,"0.27","0.2",407491,358554
81,81,"0.27","0.2",407491,358454
82,82,"0.27","0.2",407491,358354
83,83,"0.27","0.2",407491,358254
84,84,"0.27","0.2",407491,358154
85,85,"0.27","0.2",407491,358054
86,86,"0.27","0.2",407491,357954
87,87,"0.27","0.25",407491,357854
88,88,"0.27","0.25",407491,357754
89,89,"0.27","0.25",407491,357654
90,90,"0.27","0.25",407491,357554
91,91,"0.27","0.25",407491,357454
92,92,"0.27","0.25",407491,357354
93,93,"0.27","0.25",407491,357254
94,94,"0.27","0.25",407491,357154
