Nit_data,X,Y
0.5,407391,361254
0.5,407391,361154
0.5,407391,361054
0.5,407391,360954
0.5,407391,360854
0.5,407391,360754
0.5,407391,360654
0.5,407391,360554
0.5,407391,360454
0.5,407391,360354
0.5,407391,360254
0.5,407391,360154
0.5,407391,360054
0.5,407391,359954
0.5,407391,359854
0.5,407391,359754
0.5,407391,359654
0.5,407391,359554
0.5,407391,359454
0.5,407391,359354
0.5,407391,359254
0.5,407391,359154
0.5,407391,359054
0.5,407391,358954
0.5,407391,358854
0.5,407391,358754
0.5,407391,358654
0.5,407391,358554
0.5,407391,358454
0.5,407391,358354
0.5,407391,358254
0.5,407391,358154
0.5,407391,358054
0.5,407391,357954
0.5,407391,357854
0.5,407391,357754
0.5,407391,357654
0.5,407391,357554
0.5,407391,357454
0.5,407391,357354
0.5,407391,357254
0.5,407391,357154
0.5,407391,357054
0.5,407391,356954
0.5,407391,356854
0.5,407391,356754
0.5,407391,356654
0.5,407391,356554
0.5,407391,356454
0.5,407391,356354
0.5,407391,356254
0.5,407391,356154
0.5,407491,361254
0.5,407491,361154
0.5,407491,361054
0.5,407491,360954
0.5,407491,360854
0.5,407491,360754
0.5,407491,360654
0.5,407491,360554
0.5,407491,360454
0.5,407491,360354
0.4,407491,360254
0.3,407491,360154
0.3,407491,360054
0.3,407491,359954
0.3,407491,359854
0.3,407491,359754
0.27,407491,359654
0.27,407491,359554
0.27,407491,359454
0.27,407491,359354
0.27,407491,359254
0.27,407491,359154
0.27,407491,359054
0.27,407491,358954
0.27,407491,358854
0.27,407491,358754
0.27,407491,358654
0.27,407491,358554
0.27,407491,358454
0.27,407491,358354
0.27,407491,358254
0.27,407491,358154
0.27,407491,358054
0.27,407491,357954
0.27,407491,357854
0.27,407491,357754
0.27,407491,357654
0.27,407491,357554
0.27,407491,357454
0.27,407491,357354
0.27,407491,357254
0.27,407491,357154
0.27,407491,357054
0.27,407491,356954
0.27,407491,356854
0.27,407491,356754
0.27,407491,356654
0.5,407491,356554
0.5,407491,356454
0.5,407491,356354
0.5,407491,356254
0.5,407491,356154
0.5,407591,361254
0.5,407591,361154
0.5,407591,361054
0.5,407591,360954
0.5,407591,360854
0.5,407591,360754
0.4,407591,360654
0.4,407591,360554
0.4,407591,360454
0.4,407591,360354
0.4,407591,360254
0.3,407591,360154
0.3,407591,360054
0.3,407591,359954
0.3,407591,359854
0.3,407591,359754
0.27,407591,359654
0.27,407591,359554
0.27,407591,359454
0.27,407591,359354
0.27,407591,359254
0.27,407591,359154
0.27,407591,359054
0.27,407591,358954
0.27,407591,358854
0.27,407591,358754
0.27,407591,358654
0.27,407591,358554
0.27,407591,358454
0.27,407591,358354
0.27,407591,358254
0.27,407591,358154
0.27,407591,358054
0.27,407591,357954
0.27,407591,357854
0.27,407591,357754
0.27,407591,357654
0.27,407591,357554
0.27,407591,357454
0.27,407591,357354
0.27,407591,357254
0.27,407591,357154
0.4,407591,357054
0.4,407591,356954
0.4,407591,356854
